Feature,KS,is_rosetta,P-value
Mean_res_entropy,0.0851455375531523,False,1.1712856935241103e-14
S_PC,0.08237730914102695,False,9.529205702327889e-14
SumL_entropies,0.08188004604577953,False,1.3784944454541324e-13
n_hphob_clusters,0.0766842340190605,True,5.711962015194125e-12
fa_rep,0.06980869074934026,True,5.421327083989594e-10
L_max_entropy,0.06767476644296355,False,2.0419871019547173e-09
degree,0.06017666543982336,True,1.5560098532541575e-07
ref,0.05931918025982974,True,2.472681887259205e-07
H_range_entropy,0.05653529001793278,False,1.0625153927287473e-06
pack,0.03661344254849294,True,0.004670264455435738
exposed_polars,0.027349470238607954,True,0.06801267659933354
fa_rep_per_res,0.021566339595454953,True,0.24387262422672412
H_min_entropy,0.014686880868291834,False,0.7141781454979944
buns_sc_heavy,0.006855965982505707,True,0.9999303986022696
entropy,-0.0,True,1.0
dslf_fa13,-0.0,True,1.0
