Feature,KS,is_rosetta,topology,P-value
net_atr_per_res,0.40635259548627733,True,EHEE,2.0215482729954255e-78
lk_ball_iso,0.4062839768590329,True,EHEE,2.1479453164542075e-78
worstfrag,0.403689282397852,True,EEHEE,3.147822032792784e-73
hxl_tors,0.40236101270455266,True,EHEE,6.76780247184716e-77
rama_prepro,0.4022848931441348,True,EEHEE,1.0085001523074321e-72
fa_dun_semi,0.40029058629360553,True,EEHEE,5.232630409764768e-72
fa_sol,0.3990935180786976,True,HHH,3.219646771412954e-15
mismatch_probability,0.3982098517199339,True,EHEE,2.5130609003426546e-75
buried_over_exposed,0.39792424598378023,True,EEHEE,3.652113033457183e-71
fa_intra_atr_xover4,0.39127581537950745,True,EEHEE,8.064243457728912e-69
SumE_entropies,0.39069367935903526,False,EEHEE,1.2880281830311696e-68
n_hphob_clusters,0.39066712199647224,True,EHEE,1.6248454115106836e-72
avg_all_frags,0.39048385837658894,True,HHH,3.219646771412954e-15
fxn_exposed_is_np,0.3880548268150957,True,EHEE,1.484868164915698e-71
res_count_core_SASA,0.38740623912545863,True,HHH,3.219646771412954e-15
percent_core_SASA,0.38740623912545863,True,HHH,3.219646771412954e-15
mismatch_probability,0.3871552854319257,True,EEHEE,2.185265958745155e-67
fa_intra_elec,0.3868948462447356,True,HHH,3.219646771412954e-15
nearest_tryp_cut_to_Nterm,0.3791239575466839,True,EEHEE,1.2270157618974555e-64
lk_ball_iso,0.3725897385346775,True,HHH,3.219646771412954e-15
p_aa_pp,0.372558644789019,True,HHH,3.219646771412954e-15
helix_sc,0.37236287936111034,True,EEHEE,2.2838874764896885e-62
abego_res_profile,0.37055335337635564,True,EHEE,2.772981900775139e-65
hbond_sr_bb,0.3682319831590981,True,HHH,3.219646771412954e-15
lk_ball,0.36699418745426904,True,HHH,3.219646771412954e-15
n_hydrophobic,0.3658675353509425,True,HHH,3.219646771412954e-15
chymo_cut_sites,0.35886036220644,True,EEHEE,5.881636787993922e-58
Mean_E_entropy,0.3523542232838104,False,EEHEE,6.865644047097159e-56
fa_elec,0.34650279049084126,True,EHEE,3.880462618736455e-57
fa_rep,0.3449825421446034,True,EHEE,1.2173914075133156e-56
fa_rep_per_res,0.343503252203775,True,EHEE,3.685557067841804e-56
ref,0.3342839208176436,True,EEHEE,2.397314361580877e-50
exposed_total,0.3287023072744399,True,EEHEE,1.0787020346012944e-48
fa_dun_dev,0.327381066365383,True,EHEE,4.7367757592467824e-51
buried_minus_exposed,0.32715451468531676,True,EEHEE,3.064791547370354e-48
SumH_entropies,0.3263129927868493,False,EEHEE,5.395933102175521e-48
percent_core_SCN,0.32582143721908124,True,HHH,3.219646771412954e-15
res_count_core_SCN,0.32582143721908124,True,HHH,3.219646771412954e-15
hbond_lr_bb_per_sheet,0.3249701150413424,True,EEHEE,1.3267301587854969e-47
chymo_with_LM_cut_sites,0.3246363212756043,True,EHEE,3.3174776610212023e-50
hbond_bb_sc,0.32431504447728765,True,HHH,3.219646771412954e-15
ss_sc,0.3234660475002242,True,EEHEE,3.61813334798626e-47
hbond_bb_sc,0.3202737484446111,True,EEHEE,2.9959872054077243e-46
buried_over_exposed,0.31796808010400246,True,EHEE,3.506235557392225e-48
contact_core_SASA,0.3165905641728601,True,HHH,3.219646771412954e-15
contact_core_SCN,0.3165905641728601,True,HHH,3.219646771412954e-15
contact_all,0.3165905641728601,True,HHH,3.219646771412954e-15
nearest_tryp_cut_to_term,0.31406367997415036,True,EEHEE,1.7233514780763614e-44
sum_best_frags,0.3107397194402422,True,EHEE,4.914075524154835e-46
avg_best_frag,0.30962001238326853,True,EHEE,1.0460324285843156e-45
buried_minus_exposed,0.3075072210262524,True,HHH,3.219646771412954e-15
fa_intra_sol_xover4,0.3068481389989978,True,EHEE,6.70935872596167e-45
fa_intra_elec,0.30463982047532834,True,EEHEE,6.936263210960478e-42
exposed_polars,0.3042500005558269,True,EEHEE,8.854471196521467e-42
Mean_H_entropy,0.2990867393787041,False,EEHEE,2.1819300317753546e-40
Mean_res_entropy,0.29643520129561685,False,HHH,3.219646771412954e-15
S_PC,0.29643520129561685,False,HHH,3.219646771412954e-15
frac_loop,0.29628426024259247,True,EEHEE,1.2140409099205909e-39
n_charged,0.29502711765594514,True,EHEE,1.539349902833786e-41
fa_atr,0.2943899394916031,True,HEEH,2.8805120511066207e-09
fa_atr_per_res,0.2939791775281609,True,HEEH,3.0514090143540784e-09
buried_np,0.2933314375088867,True,HEEH,3.34114547140274e-09
buried_np_per_res,0.29312605652716556,True,HEEH,3.438482942819121e-09
percent_core_SASA,0.2897510710784005,True,EEHEE,6.232440399666003e-38
abego_res_profile_penalty,0.2877540750953746,True,EHEE,1.546786774373828e-39
Mean_H_entropy,0.2860705250548417,False,EHEE,4.4233231113689706e-39
hbond_sr_bb_per_helix,0.2855845927752881,True,EEHEE,7.337521683155267e-37
frac_loop,0.2851488331906549,True,HHH,3.219646771412954e-15
frac_helix,0.2851488331906549,True,HHH,3.219646771412954e-15
nres_helix,0.2851488331906549,True,HHH,3.219646771412954e-15
nres_loop,0.2851488331906549,True,HHH,3.219646771412954e-15
fa_elec,0.2843454693809793,True,EEHEE,1.517201899306428e-36
hxl_tors,0.28417500353939446,True,HHH,3.219646771412954e-15
loop_sc,0.28227415960799085,True,EHEE,4.62283931062258e-38
fa_intra_atr_xover4,0.28072420493862266,True,HEEH,1.8709748750289634e-08
two_core_each,0.2789677934951884,True,HHH,3.219646771412954e-15
worstfrag,0.27705188950738247,True,HHH,3.219646771412954e-15
n_hphob_clusters,0.2755388810750233,True,HHH,3.219646771412954e-15
SumH_entropies,0.2752872939579437,False,EHEE,3.198845090896973e-36
fa_intra_rep_xover4,0.27523782471504654,True,EHEE,3.2950133544627354e-36
hphob_sc_degree,0.2721220951560799,True,EEHEE,1.6585555872456803e-33
tryp_cut_sites,0.2715036451126883,True,EEHEE,2.3438318700696992e-33
degree,0.26651243286728,True,HHH,3.219646771412954e-15
contig_not_hp_avg_norm,0.2664626193378994,True,EHEE,5.7967099003973425e-34
contact_all,0.26620534938464696,True,HEEH,1.2308871999433535e-07
contact_core_SASA,0.26620534938464696,True,HEEH,1.2308871999433535e-07
contact_core_SCN,0.26620534938464696,True,HEEH,1.2308871999433535e-07
worst6frags,0.26430080751119045,True,HHH,3.219646771412954e-15
E_max_entropy,0.2608854989213253,False,EEHEE,7.8585421110792175e-31
pack,0.25961117315786003,True,EEHEE,1.5547365433517605e-30
fa_intra_elec,0.25854168927357873,True,EHEE,5.338923698459033e-32
contact_core_SCN,0.25413573509167237,True,EHEE,6.2288860179661435e-31
contact_core_SASA,0.25413573509167237,True,EHEE,6.2288860179661435e-31
contact_all,0.25413573509167237,True,EHEE,6.2288860179661435e-31
n_polar_core,0.25355636566294215,True,EEHEE,3.7995899129819585e-29
nearest_tryp_cut_to_Cterm,0.25328326938853857,True,EEHEE,4.3809945556706725e-29
chymo_with_LM_cut_sites,0.25209725579411346,True,HEEH,6.936301777393794e-07
lk_ball_bridge_uncpl,0.25184259631608397,True,EHEE,2.2002209628494542e-30
ref,0.2508643399723993,True,HHH,3.219646771412954e-15
H_min_entropy,0.24884523121176957,False,HHH,3.219646771412954e-15
lk_ball_bridge,0.2460339497307384,True,EHEE,5.110850085483062e-29
hbond_sr_bb_per_helix,0.23870734698900076,True,HHH,3.219646771412954e-15
SumH_entropies,0.2373590692517257,False,HHH,3.219646771412954e-15
Mean_H_entropy,0.235466981749956,False,HHH,3.219646771412954e-15
