Feature,KS,is_rosetta,topology,P-value
E_range_entropy,0.09202647834810497,False,HEEH,0.27068109130367024
fa_rep_per_res,0.09169677908489123,True,HHH,6.168044889787172e-05
rama_prepro,0.09141693537396514,True,HHH,6.569808701550883e-05
E_range_entropy,0.09057605603535401,False,EHEE,0.00024587323129821037
ref,0.09033603488316982,True,HEEH,0.2906353117736644
contig_not_hp_internal_max,0.08894576362228858,True,HEEH,0.3078107603256176
res_count_core_SASA,0.0886504790537651,True,EHEE,0.0003587922749823669
percent_core_SASA,0.0886504790537651,True,EHEE,0.0003587922749823669
nearest_tryp_cut_to_Nterm,0.08842441189945811,True,HEEH,0.3144296145039813
fa_dun_rot,0.08825011616781822,True,EEHEE,0.0006634082550900325
pro_close,0.08793450485011352,True,EHEE,0.00041203215099117063
T1_absq,0.08752360147609288,True,HHH,0.00015501472983259212
worst6frags,0.0870657377126878,True,HEEH,0.3321369500227235
nearest_tryp_cut_to_Cterm,0.08614753783844219,True,HHH,0.0002081087486495159
fxn_exposed_is_np,0.08602303426702687,True,HEEH,0.3461731331857095
fa_atr,0.08583263096751828,True,HHH,0.00022246822377525177
pro_close,0.08485394252492219,True,HEEH,0.3623684511603672
helix_sc,0.08472755422847844,True,HEEH,0.36414835829870906
pack,0.08447477763559094,True,HEEH,0.3677250154632449
fa_atr_per_res,0.08434674686647817,True,HHH,0.0003037910062230198
L_min_entropy,0.08412720982037063,False,HEEH,0.3726777085869618
tryp_cut_sites,0.08369311663859409,True,HHH,0.0003477951998219764
Tminus1_netq,0.08259772733504725,True,EEHEE,0.0017914187184561706
SumE_entropies,0.08245256489249096,False,HEEH,0.39713045383084755
nearest_chymo_cut_to_Cterm,0.08244501467055612,True,EHEE,0.0011470748636386308
n_charged,0.08244407425980346,True,HHH,0.0004491029616172648
ss_sc,0.08205760146610423,True,HEEH,0.40303538805848105
fa_elec,0.0809675024092769,True,HEEH,0.41960399734847276
hbond_sr_bb,0.08055667260297582,True,EHEE,0.0016068377742702866
n_polar_core,0.07960882822250659,True,HEEH,0.4407919183707273
worstfrag,0.07951403700017379,True,HEEH,0.4422921455941592
chymo_cut_sites,0.07881338327738664,True,HHH,0.0009239183905989101
mismatch_probability,0.07667030033018943,True,HEEH,0.48852935904489614
lk_ball_bridge_uncpl,0.07594356762563786,True,HEEH,0.500703122216182
nearest_tryp_cut_to_Cterm,0.07564339542158396,True,HEEH,0.5057741339459063
exposed_polars,0.07546650542023528,True,HHH,0.0017461178915885167
buns_nonheavy,0.0754479408837351,True,EEHEE,0.005728094909452712
two_core_each,0.07464829127700115,True,EEHEE,0.006480819295870147
exposed_total,0.07433211684598007,True,HEEH,0.5281691016076864
Tend_netq,0.07269993278200247,True,EEHEE,0.008707294727853324
hbond_lr_bb_per_sheet,0.07182014945416054,True,HEEH,0.5720761854907843
L_max_entropy,0.07121980504605274,False,HEEH,0.5827255695652785
ss_contributes_core,0.07019290013744728,True,HEEH,0.6010580409409274
nearest_tryp_cut_to_term,0.06926078645117462,True,HEEH,0.617796203707059
AlaCount,0.06915019669178633,True,HEEH,0.6197877676394277
Mean_res_entropy,0.0682654786166801,False,HEEH,0.635730797463173
S_PC,0.068060097634959,False,HEEH,0.6394377129573836
T1_absq,0.06707869758653925,True,EHEE,0.014189024335400036
SumH_entropies,0.06638545270707932,False,HEEH,0.6696780943693477
nearest_chymo_cut_to_term,0.06581643400164684,True,EHEE,0.017046186232001048
res_count_core_SASA,0.0652918721064579,True,EEHEE,0.023707223119551757
SumL_entropies,0.0652459237509273,False,EEHEE,0.0238544138019553
Tminus1_netq,0.06456862094570043,True,HEEH,0.7023395639173873
L_range_entropy,0.06445601161186008,False,HHH,0.011653148596074137
S_PC,0.06432917994784121,False,EEHEE,0.026975887621910943
E_max_entropy,0.06395247800053715,False,HEEH,0.7133385034884742
lk_ball_bridge,0.06314675261070825,True,HEEH,0.72763624504695
Tend_netq,0.06286237894370982,True,HEEH,0.7326531049166204
net_atr_per_res,0.062424994608212186,True,HHH,0.01601445372239796
ss_contributes_core,0.06235837434493148,True,EHEE,0.027699482295622357
one_core_each,0.062277833072657475,True,HEEH,0.7429092674473692
Tminus1_absq,0.061867071109215285,True,HEEH,0.7500696152337368
fa_intra_sol_xover4,0.06147210768282857,True,HEEH,0.7569136258862733
lk_ball_iso,0.06080856912649889,True,HEEH,0.7683135778513743
lk_ball,0.06063478521888873,True,HEEH,0.7712751509603182
res_count_core_SASA,0.06053999399655592,True,HEEH,0.7728856880616078
percent_core_SASA,0.06053999399655592,True,HEEH,0.7728856880616078
Mean_L_entropy,0.05958612389307077,False,EEHEE,0.049586599501830975
ss_contributes_core,0.05950350565443072,True,HHH,0.024837467087463816
Mean_H_entropy,0.059070730050397334,False,HEEH,0.7974696066347887
fa_dun_semi,0.058595520320688356,True,EHEE,0.045599311280570265
netcharge,0.05849130499788959,True,HHH,0.028775428231827327
fa_sol,0.057522473418961405,True,HEEH,0.8224221542117678
H_min_entropy,0.05731709243724031,False,HEEH,0.8256477193846599
E_min_entropy,0.05368317130826466,False,EHEE,0.0834284033602758
T1_netq,0.05286190498759815,True,HEEH,0.8896409983136166
E_min_entropy,0.052514337172377835,False,HEEH,0.8940855534317729
nres_loop,0.052387948875934086,True,HEEH,0.8956793732237567
frac_loop,0.052387948875934086,True,HEEH,0.8956793732237567
hbond_sr_bb_per_helix,0.05181920154193722,True,HEEH,0.9027048882760985
fxn_exposed_is_np,0.05091964714552799,True,HHH,0.07992529309009022
loop_sc,0.05065010979983253,True,HEEH,0.9163680834016846
Mean_E_entropy,0.05053952004044426,False,HEEH,0.9176074997550926
one_core_each,0.049507009738525794,True,EHEE,0.13373983884648077
exposed_polars,0.04843831461206692,True,HEEH,0.9392150698453242
L_max_entropy,0.047847982015906766,False,HHH,0.11620020153765354
buns_bb_heavy,0.047661419541956046,True,HHH,0.11879685110444016
H_max_entropy,0.04718310511406112,False,HHH,0.12561776596314989
net_sol_per_res,0.04455187449642163,True,HEEH,0.9694422851723888
Tminus1_absq,0.04359609616842592,True,EEHEE,0.27347621168982283
nearest_tryp_cut_to_Nterm,0.04260769351887258,True,HHH,0.20845019667710862
res_count_core_SCN,0.042073325120375156,True,EHEE,0.2814582877940448
percent_core_SCN,0.042073325120375156,True,EHEE,0.2814582877940448
n_charged,0.04177133197465915,True,HEEH,0.9835658371051447
lk_ball_bridge,0.04109137724123057,True,HHH,0.24364335692302364
T1_absq,0.04087081536249743,True,HEEH,0.9869358364568734
T1_netq,0.03986284350319339,True,HHH,0.27528436608892803
lk_ball_bridge_uncpl,0.0397755163877271,True,HHH,0.27761472688079947
one_core_each,0.03723373113245651,True,EEHEE,0.4616395137496849
buns_nonheavy,0.03632741846492162,True,HHH,0.3823153942922729
Tend_absq,0.036065437118522746,True,HHH,0.3911598094210865
n_hphob_clusters,0.032434396574877164,True,HEEH,0.9994626425219233
Tend_absq,0.031123117999273267,True,HEEH,0.999744615161978
chymo_with_LM_cut_sites,0.030686880688666925,True,HHH,0.5969122184218507
buns_bb_heavy,0.023013836494045606,True,EHEE,0.9278732947642926
pack,0.021814340335624877,True,EHEE,0.9520990521125148
n_polar_core,0.018738736438512392,True,EHEE,0.9888646353422494
buns_nonheavy,0.017301468757779437,True,EHEE,0.995811871792741
two_core_each,0.016477513303502847,True,EHEE,0.9978852733088412
buns_sc_heavy,0.01598615468278425,True,HHH,0.9967392172313841
buns_sc_heavy,0.010546523429271749,True,EHEE,0.9999999515523678
buns_sc_heavy,0.006398407507464809,True,HEEH,1.0
buns_sc_heavy,0.0005195128584990747,True,EEHEE,1.0
dslf_fa13,0.0,True,EEHEE,1.0
entropy,0.0,True,HHH,1.0
dslf_fa13,0.0,True,HHH,1.0
E_range_entropy,0.0,False,HHH,1.0
E_min_entropy,0.0,False,HHH,1.0
E_max_entropy,0.0,False,HHH,1.0
n_res,0.0,True,HHH,1.0
entropy,0.0,True,EEHEE,1.0
entropy,0.0,True,HEEH,1.0
hbond_lr_bb_per_sheet,0.0,True,HHH,1.0
entropy,0.0,True,EHEE,1.0
SumE_entropies,0.0,False,HHH,1.0
n_res,0.0,True,EHEE,1.0
nres_sheet,0.0,True,HHH,1.0
Mean_E_entropy,0.0,False,HHH,1.0
nres,0.0,True,EHEE,1.0
nres,0.0,True,HHH,1.0
nres,0.0,True,HEEH,1.0
n_res,0.0,True,HEEH,1.0
dslf_fa13,0.0,True,HEEH,1.0
frac_sheet,0.0,True,HHH,1.0
dslf_fa13,0.0,True,EHEE,1.0
