∆Metric,svm_classification,random_forest_classification,keras cnn,gbc_classification,knn_classifier,naive_bayes_classification,decision_tree_classification,gmm_classification
∆Accuracy,"(0.0, 0.0)","(0.0014576271186440804, 0.000869873045447878)","(0.0036610169491525456, 0.02736111937043335)","(0.001000000000000112, 0.0)","(0.0030000000000000027, 0.0)","(0.0010000000000000009, 0.0)","(-0.0006949152542372925, 0.0011085834186961247)","(-0.006067796610169493, 0.06209666177516831)"
∆Balanced Accuracy,"(0.0009999999999998899, 0.0)","(-0.0028644067796610327, 0.0015233507571946487)","(0.0012203389830508467, 0.004525138059922773)","(0.0020000000000000018, 0.0)","(-0.0009999999999998899, 0.0)","(-0.0009999999999998899, 0.0)","(-0.0022881355932203393, 0.0013410196911764426)","(0.009779661016949147, 0.02682022244666289)"
∆AUC Score,"(0.0030000000000000027, 0.0)","(-1.6949152542372898e-05, 0.00046909669502027317)","(0.0011355932203389858, 0.0025740400686873987)","(0.0, 0.0)","(0.0, 0.0)","(-0.007000000000000006, 0.0)","(-0.0022881355932203393, 0.0013410196911764426)","(0.007949152542372875, 0.02447996325521609)"
∆Average Precision,"(0.002000000000000113, 0.0)","(-0.0004745762711864336, 0.0004993532156832548)","(0.0020508474576271165, 0.0028784631540586425)","(0.0, 0.0)","(0.0020000000000000018, 0.0)","(-0.006000000000000061, 0.0)","(-0.0025084745762711876, 0.0005636708185869741)","(0.0028305084745762726, 0.008184633270669615)"
∆F1 Score,"(0.0010000000000000009, 0.0)","(-0.0003389830508474579, 0.0020960832682671137)","(0.0037796610169491636, 0.022547176753334487)","(0.0050000000000000044, 0.0)","(0.0020000000000000018, 0.0)","(-0.0009999999999999454, 0.0)","(-0.003491525423728814, 0.001110395888417576)","(0.008576271186440679, 0.02352726754851357)"
∆Precision,"(-0.0040000000000000036, 0.0)","(0.005406779661016952, 0.002380134194107387)","(0.004542372881355932, 0.03292792438856306)","(0.008000000000000007, 0.0)","(0.020000000000000018, 0.0)","(0.0, 0.0)","(-0.0023389830508474614, 0.0025218379730713465)","(0.0033559322033898356, 0.009820011929752856)"
∆Recall,"(0.0020000000000000573, 0.0)","(-0.00900000000000002, 0.0031245338635397983)","(-0.0021525423728813316, 0.037501102157508195)","(0.0030000000000000027, 0.0)","(-0.007000000000000062, 0.0)","(-0.0050000000000000044, 0.0)","(-0.004830508474576276, 0.0041462768366162415)","(0.03181355932203389, 0.11555488454223176)"
